	t	x	y	pescados
	289	4.80546e+06	3282.31	0
	290	4.80148e+06	3346.28	0
	291	4.79742e+06	3411.3	0
	292	4.79328e+06	3477.39	0
	293	4.78907e+06	3544.54	0
	294	4.78477e+06	3612.77	0
	295	4.7804e+06	3682.08	0
	296	4.77595e+06	3752.49	0
	297	4.77141e+06	3824.01	0
	298	4.76679e+06	3896.63	0
	299	4.76209e+06	3970.37	0
	300	4.7573e+06	4045.23	0
	301	4.75242e+06	4121.23	0
	302	4.74746e+06	4198.36	0
	303	4.74241e+06	4276.64	0
	304	4.73727e+06	4356.07	0
	305	4.73204e+06	4436.65	0
	306	4.72672e+06	4518.38	0
	307	4.7213e+06	4601.28	0
	308	4.71579e+06	4685.35	0
	309	4.71019e+06	4770.58	0
	310	4.70449e+06	4856.99	0
	311	4.69869e+06	4944.57	0
	312	4.6928e+06	5033.32	0
	313	4.6868e+06	5123.25	0
	314	4.68071e+06	5214.35	0
	315	4.67451e+06	5306.63	0
	316	4.66821e+06	5400.08	0
	317	4.66181e+06	5494.71	0
	318	4.65531e+06	5590.5	0
	319	4.6487e+06	5687.46	0
	320	4.64198e+06	5785.58	0
	321	4.63516e+06	5884.86	0
	322	4.62823e+06	5985.29	0
	323	4.62119e+06	6086.86	0
	324	4.61404e+06	6189.58	0
	325	4.60678e+06	6293.42	0
	326	4.59941e+06	6398.38	0
	327	4.59193e+06	6504.46	0
	328	4.58434e+06	6611.64	0
	329	4.57663e+06	6719.91	0
	330	4.56881e+06	6829.26	0
	331	4.56087e+06	6939.68	0
	332	4.55282e+06	7051.14	0
	333	4.54465e+06	7163.65	0
	334	4.53637e+06	7277.17	0
	335	4.52796e+06	7391.7	0
	336	4.51945e+06	7507.22	0
	337	4.51081e+06	7623.7	0
	338	4.50205e+06	7741.14	0
	339	4.49318e+06	7859.5	0
	340	4.48418e+06	7978.77	0
	341	4.47507e+06	8098.93	0
	342	4.46584e+06	8219.95	0
	343	4.45648e+06	8341.8	0
	344	4.44701e+06	8464.48	0
	345	4.43742e+06	8587.93	0
	346	4.4277e+06	8712.15	0
	347	4.41787e+06	8837.11	0
	348	4.40791e+06	8962.76	0
	349	4.39784e+06	9089.1	0
	350	4.38764e+06	9216.07	0
	351	4.37732e+06	9343.66	0
	352	4.36689e+06	9471.84	0
	353	4.35633e+06	9600.56	0
	354	4.34566e+06	9729.8	0
	355	4.33486e+06	9859.52	0
	356	4.32395e+06	9989.68	0
	357	4.31292e+06	10120.3	0
	358	4.30177e+06	10251.2	0
	359	4.2905e+06	10382.5	0
	360	4.27912e+06	10514.1	0
	361	4.26762e+06	10645.9	0
	362	4.25601e+06	10778	0
	363	4.24428e+06	10910.2	0
	364	4.23244e+06	11042.6	0
	365	4.22049e+06	11175.1	0
	366	4.20842e+06	11307.7	0
	367	4.19624e+06	11440.3	0
	368	4.18396e+06	11572.8	0
	369	4.17156e+06	11705.3	0
	370	4.15906e+06	11837.7	0
	371	4.14645e+06	11969.9	0
	372	4.13374e+06	12102	0
	373	4.12093e+06	12233.8	0
	374	4.10801e+06	12365.3	0
	375	4.09499e+06	12496.5	0
	376	4.08187e+06	12627.4	0
	377	4.06865e+06	12757.8	0
	378	4.05534e+06	12887.8	0
	379	4.04193e+06	13017.3	0
	380	4.02843e+06	13146.3	0
	381	4.01484e+06	13274.7	0
	382	4.00116e+06	13402.5	0
	383	3.98739e+06	13529.6	0
	384	3.97354e+06	13656	0
	385	3.9596e+06	13781.7	0
	386	3.94558e+06	13906.6	0
	387	3.93147e+06	14030.6	0
	388	3.91729e+06	14153.8	0
	389	3.90304e+06	14276.1	0
	390	3.88871e+06	14397.5	0
	391	3.8743e+06	14517.9	0
	392	3.85983e+06	14637.2	0
	393	3.84529e+06	14755.6	0
	394	3.83068e+06	14872.8	0
	395	3.81601e+06	14988.9	0
	396	3.80128e+06	15103.8	0
	397	3.78648e+06	15217.6	0
	398	3.77163e+06	15330.1	0
	399	3.75673e+06	15441.4	0
	400	3.74177e+06	15551.4	0
	401	3.72676e+06	15660	0
	402	3.71171e+06	15767.4	0
	403	3.6966e+06	15873.3	0
	404	3.68146e+06	15977.9	0
	405	3.66627e+06	16081	0
	406	3.65104e+06	16182.7	0
	407	3.63578e+06	16282.9	0
