t,I,S,R
23.2,71.2049,64.0553,864.74
23.3,71.2499,64.1513,864.599
23.4,71.2976,64.243,864.459
23.5,71.348,64.3307,864.321
23.6,71.4008,64.4142,864.185
23.7,71.4561,64.4937,864.05
23.8,71.5137,64.5692,863.917
23.9,71.5734,64.6408,863.786
24,71.6352,64.7086,863.656
24.1,71.699,64.7725,863.529
24.2,71.7646,64.8327,863.403
24.3,71.832,64.8891,863.279
24.4,71.901,64.942,863.157
24.5,71.9717,64.9912,863.037
24.6,72.0437,65.037,862.919
24.7,72.1172,65.0794,862.803
24.8,72.1919,65.1183,862.69
24.9,72.2678,65.154,862.578
25,72.3448,65.1864,862.469
25.1,72.4228,65.2156,862.362
25.2,72.5016,65.2418,862.257
25.3,72.5814,65.2649,862.154
25.4,72.6618,65.2851,862.053
25.5,72.7429,65.3023,861.955
25.6,72.8246,65.3168,861.859
25.7,72.9067,65.3285,861.765
25.8,72.9893,65.3375,861.673
25.9,73.0722,65.3439,861.584
26,73.1554,65.3478,861.497
26.1,73.2388,65.3492,861.412
26.2,73.3223,65.3482,861.33
26.3,73.4058,65.3449,861.249
26.4,73.4893,65.3393,861.171
26.5,73.5728,65.3316,861.096
26.6,73.656,65.3218,861.022
26.7,73.7391,65.31,860.951
26.8,73.8219,65.2961,860.882
26.9,73.9044,65.2804,860.815
27,73.9865,65.2629,860.751
27.1,74.0681,65.2436,860.688
27.2,74.1493,65.2227,860.628
27.3,74.2299,65.2001,860.57
27.4,74.3099,65.176,860.514
27.5,74.3893,65.1504,860.46
27.6,74.468,65.1234,860.409
27.7,74.5459,65.095,860.359
27.8,74.6231,65.0654,860.312
27.9,74.6994,65.0346,860.266
28,74.7749,65.0026,860.222
28.1,74.8496,64.9695,860.181
28.2,74.9233,64.9354,860.141
28.3,74.996,64.9003,860.104
28.4,75.0677,64.8643,860.068
28.5,75.1385,64.8275,860.034
28.6,75.2082,64.7899,860.002
28.7,75.2768,64.7516,859.972
28.8,75.3443,64.7125,859.943
28.9,75.4107,64.6729,859.916
29,75.4759,64.6327,859.891
29.1,75.54,64.5919,859.868
29.2,75.6029,64.5508,859.846
29.3,75.6646,64.5091,859.826
29.4,75.7251,64.4672,859.808
29.5,75.7844,64.4249,859.791
29.6,75.8424,64.3823,859.775
29.7,75.8992,64.3395,859.761
29.8,75.9547,64.2965,859.749
29.9,76.009,64.2534,859.738
30,76.062,64.2102,859.728
30.1,76.1137,64.1669,859.719
30.2,76.1641,64.1236,859.712
30.3,76.2132,64.0803,859.706
30.4,76.2611,64.0371,859.702
30.5,76.3077,63.994,859.698
30.6,76.3529,63.951,859.696
30.7,76.3969,63.9081,859.695
30.8,76.4396,63.8655,859.695
30.9,76.481,63.823,859.696
31,76.5212,63.7809,859.698
31.1,76.5601,63.7389,859.701
31.2,76.5977,63.6973,859.705
31.3,76.6341,63.6561,859.71
31.4,76.6692,63.6151,859.716
31.5,76.7031,63.5746,859.722
31.6,76.7357,63.5345,859.73
31.7,76.7672,63.4948,859.738
31.8,76.7974,63.4555,859.747
31.9,76.8265,63.4167,859.757
32,76.8543,63.3783,859.767
32.1,76.881,63.3405,859.778
32.2,76.9066,63.3032,859.79
32.3,76.931,63.2664,859.803
32.4,76.9543,63.2302,859.815
32.5,76.9765,63.1945,859.829
32.6,76.9976,63.1594,859.843
32.7,77.0177,63.1249,859.857
32.8,77.0366,63.0909,859.872
32.9,77.0546,63.0576,859.888
33,77.0715,63.0249,859.904
33.1,77.0875,62.9928,859.92
33.2,77.1024,62.9613,859.936
33.3,77.1164,62.9304,859.953
33.4,77.1294,62.9002,859.97
33.5,77.1415,62.8707,859.988
33.6,77.1527,62.8418,860.005
33.7,77.1631,62.8135,860.023
33.8,77.1725,62.7859,860.042
33.9,77.1811,62.7589,860.06
34,77.1889,62.7326,860.078
34.1,77.1959,62.707,860.097
34.2,77.2021,62.682,860.116
34.3,77.2075,62.6577,860.135
34.4,77.2122,62.634,860.154
34.5,77.2162,62.611,860.173
34.6,77.2194,62.5886,860.192
34.7,77.222,62.5669,860.211
34.8,77.2239,62.5458,860.23
34.9,77.2251,62.5254,860.249
35,77.2258,62.5056,860.269
35.1,77.2258,62.4865,860.288
35.2,77.2252,62.468,860.307
35.3,77.2241,62.4501,860.326
35.4,77.2224,62.4329,860.345
35.5,77.2202,62.4162,860.364
35.6,77.2175,62.4002,860.382
35.7,77.2143,62.3847,860.401
35.8,77.2106,62.3699,860.419
35.9,77.2065,62.3557,860.438
36,77.2019,62.342,860.456
36.1,77.1969,62.3289,860.474
36.2,77.1916,62.3164,860.492
36.3,77.1858,62.3044,860.51
36.4,77.1797,62.293,860.527
