t,I,S,R
23.1,35.0747,156.786,808.139
23.2,35.5206,156.376,808.103
23.3,35.9663,155.944,808.089
23.4,36.4112,155.491,808.098
23.5,36.8549,155.017,808.128
23.6,37.2969,154.522,808.181
23.7,37.7367,154.008,808.256
23.8,38.1738,153.474,808.352
23.9,38.6077,152.922,808.47
24,39.0379,152.353,808.61
24.1,39.4639,151.766,808.77
24.2,39.8851,151.163,808.951
24.3,40.3011,150.545,809.153
24.4,40.7114,149.913,809.376
24.5,41.1154,149.267,809.618
24.6,41.5128,148.608,809.88
24.7,41.9029,147.937,810.16
24.8,42.2853,147.255,810.46
24.9,42.6596,146.562,810.778
25,43.0252,145.861,811.114
25.1,43.3819,145.151,811.467
25.2,43.7291,144.433,811.838
25.3,44.0664,143.709,812.224
25.4,44.3936,142.98,812.627
25.5,44.7101,142.245,813.045
25.6,45.0157,141.507,813.477
25.7,45.31,140.766,813.924
25.8,45.5927,140.023,814.384
25.9,45.8636,139.279,814.858
26,46.1225,138.534,815.343
26.1,46.369,137.79,815.841
26.2,46.603,137.048,816.349
26.3,46.8244,136.308,816.868
26.4,47.0329,135.571,817.396
26.5,47.2284,134.838,817.934
26.6,47.4109,134.109,818.48
26.7,47.5803,133.386,819.034
26.8,47.7366,132.669,819.595
26.9,47.8796,131.959,820.162
27,48.0096,131.256,820.735
27.1,48.1264,130.561,821.313
27.2,48.2301,129.875,821.895
27.3,48.3208,129.198,822.481
27.4,48.3987,128.531,823.07
27.5,48.4638,127.874,823.662
27.6,48.5164,127.228,824.255
27.7,48.5565,126.594,824.85
27.8,48.5843,125.971,825.445
27.9,48.6002,125.36,826.04
28,48.6042,124.762,826.634
28.1,48.5966,124.176,827.227
28.2,48.5778,123.604,827.818
28.3,48.5479,123.045,828.407
28.4,48.5072,122.5,828.993
28.5,48.4561,121.969,829.575
28.6,48.3948,121.452,830.154
28.7,48.3236,120.949,830.728
28.8,48.2429,120.46,831.297
28.9,48.153,119.987,831.86
29,48.0542,119.528,832.418
29.1,47.9469,119.084,832.969
29.2,47.8314,118.655,833.514
29.3,47.7081,118.24,834.052
29.4,47.5772,117.841,834.582
29.5,47.4392,117.457,835.104
29.6,47.2944,117.087,835.618
29.7,47.1431,116.733,836.124
29.8,46.9857,116.393,836.621
29.9,46.8225,116.068,837.109
30,46.6539,115.758,837.588
30.1,46.4801,115.463,838.057
30.2,46.3017,115.182,838.516
30.3,46.1187,114.916,838.966
30.4,45.9317,114.664,839.405
30.5,45.7409,114.426,839.833
30.6,45.5466,114.202,840.252
30.7,45.3491,113.992,840.659
30.8,45.1487,113.795,841.056
30.9,44.9457,113.613,841.442
31,44.7405,113.443,841.816
31.1,44.5332,113.287,842.18
31.2,44.3241,113.143,842.533
31.3,44.1135,113.013,842.874
31.4,43.9017,112.895,843.204
31.5,43.6889,112.789,843.522
31.6,43.4754,112.695,843.83
31.7,43.2613,112.613,844.125
31.8,43.0469,112.543,844.41
31.9,42.8324,112.484,844.683
32,42.618,112.437,844.945
32.1,42.404,112.4,845.196
32.2,42.1904,112.375,845.435
32.3,41.9776,112.359,845.663
32.4,41.7656,112.354,845.88
32.5,41.5546,112.359,846.086
32.6,41.3448,112.374,846.281
32.7,41.1364,112.399,846.465
32.8,40.9294,112.432,846.638
32.9,40.7241,112.475,846.801
33,40.5206,112.527,846.953
33.1,40.3189,112.587,847.094
33.2,40.1192,112.656,847.225
33.3,39.9217,112.732,847.346
33.4,39.7264,112.817,847.457
33.5,39.5334,112.909,847.557
33.6,39.3428,113.009,847.648
33.7,39.1548,113.116,847.73
33.8,38.9693,113.229,847.801
33.9,38.7865,113.35,847.863
34,38.6065,113.477,847.916
34.1,38.4293,113.61,847.96
34.2,38.255,113.75,847.996
34.3,38.0836,113.895,848.022
34.4,37.9152,114.045,848.04
34.5,37.7498,114.201,848.049
34.6,37.5876,114.363,848.05
34.7,37.4284,114.529,848.043
34.8,37.2725,114.7,848.028
34.9,37.1197,114.875,848.005
35,36.9702,115.055,847.975
35.1,36.824,115.238,847.938
35.2,36.6811,115.426,847.893
35.3,36.5414,115.617,847.841
35.4,36.4052,115.812,847.783
35.5,36.2722,116.01,847.717
35.6,36.1427,116.212,847.646
35.7,36.0165,116.416,847.568
35.8,35.8937,116.623,847.484
35.9,35.7742,116.832,847.394
36,35.6582,117.043,847.298
36.1,35.5456,117.257,847.197
36.2,35.4364,117.473,847.091
36.3,35.3306,117.691,846.979
36.4,35.2281,117.91,846.862
36.5,35.1291,118.13,846.741
36.6,35.0334,118.352,846.615
36.7,34.9411,118.575,846.484
36.8,34.8522,118.799,846.349
36.9,34.7666,119.023,846.21
37,34.6843,119.249,846.067
37.1,34.6054,119.474,845.92
37.2,34.5297,119.7,845.77
37.3,34.4573,119.926,845.616
37.4,34.3882,120.152,845.46
37.5,34.3224,120.378,845.3
37.6,34.2598,120.603,845.137
37.7,34.2003,120.828,844.971
37.8,34.1441,121.053,844.803
37.9,34.0909,121.277,844.633
38,34.041,121.499,844.46
38.1,33.9941,121.721,844.285
38.2,33.9503,121.942,844.108
38.3,33.9095,122.161,843.93
38.4,33.8718,122.379,843.75
38.5,33.837,122.595,843.568
38.6,33.8052,122.81,843.385
38.7,33.7763,123.023,843.201
38.8,33.7504,123.234,843.016
38.9,33.7272,123.443,842.83
39,33.7069,123.649,842.644
39.1,33.6894,123.854,842.457
39.2,33.6747,124.056,842.269
39.3,33.6627,124.256,842.081
39.4,33.6533,124.454,841.893
39.5,33.6467,124.648,841.705
39.6,33.6426,124.84,841.517
39.7,33.6411,125.029,841.33
39.8,33.6421,125.216,841.142
39.9,33.6457,125.399,840.956
40,33.6516,125.579,840.769
40.1,33.66,125.756,840.584
40.2,33.6708,125.93,840.399
40.3,33.6839,126.1,840.216
40.4,33.6993,126.267,840.033
40.5,33.717,126.431,839.852
40.6,33.7368,126.591,839.672
40.7,33.7588,126.747,839.494
40.8,33.783,126.9,839.317
40.9,33.8092,127.05,839.141
41,33.8374,127.195,838.968
41.1,33.8676,127.337,838.796
41.2,33.8997,127.474,838.626
41.3,33.9338,127.608,838.458
41.4,33.9696,127.738,838.292
41.5,34.0073,127.864,838.129
41.6,34.0467,127.986,837.967
41.7,34.0878,128.104,837.808
41.8,34.1305,128.218,837.652
41.9,34.1749,128.328,837.497
42,34.2207,128.433,837.346
42.1,34.2681,128.535,837.197
42.2,34.3169,128.632,837.051
42.3,34.3671,128.725,836.908
42.4,34.4187,128.814,836.767
42.5,34.4715,128.899,836.629
42.6,34.5256,128.98,836.495
42.7,34.5808,129.056,836.363
42.8,34.6372,129.128,836.235
42.9,34.6947,129.196,836.109
43,34.7531,129.26,835.987
43.1,34.8126,129.32,835.868
43.2,34.873,129.375,835.752
43.3,34.9342,129.426,835.639
43.4,34.9963,129.474,835.53
43.5,35.0591,129.517,835.424
43.6,35.1226,129.556,835.322
43.7,35.1868,129.59,835.223
43.8,35.2515,129.621,835.127
43.9,35.3168,129.648,835.035
44,35.3826,129.671,834.946
44.1,35.4488,129.69,834.861
44.2,35.5154,129.705,834.779
44.3,35.5823,129.717,834.701
44.4,35.6495,129.724,834.626
44.5,35.7169,129.728,834.555
44.6,35.7845,129.728,834.488
44.7,35.8522,129.724,834.423
44.8,35.92,129.717,834.363
44.9,35.9877,129.706,834.306
45,36.0555,129.692,834.252
45.1,36.1231,129.675,834.202
45.2,36.1906,129.654,834.156
45.3,36.2579,129.63,834.113
45.4,36.325,129.602,834.073
45.5,36.3918,129.571,834.037
45.6,36.4582,129.538,834.004
45.7,36.5243,129.501,833.975
45.8,36.5899,129.461,833.949
45.9,36.6551,129.419,833.926
46,36.7198,129.374,833.906
46.1,36.7839,129.326,833.89
46.2,36.8473,129.275,833.877
46.3,36.9102,129.222,833.868
46.4,36.9723,129.166,833.861
46.5,37.0338,129.108,833.858
46.6,37.0944,129.048,833.857
46.7,37.1543,128.986,833.86
46.8,37.2133,128.921,833.866
46.9,37.2714,128.854,833.874
47,37.3287,128.786,833.886
47.1,37.3849,128.715,833.9
47.2,37.4402,128.643,833.917
47.3,37.4945,128.569,833.937
47.4,37.5478,128.493,833.959
47.5,37.6,128.416,833.984
47.6,37.6511,128.337,834.012
47.7,37.701,128.257,834.042
47.8,37.7499,128.176,834.074
47.9,37.7975,128.094,834.109
48,37.844,128.01,834.146
48.1,37.8892,127.926,834.185
48.2,37.9333,127.84,834.227
48.3,37.976,127.754,834.27
48.4,38.0175,127.667,834.316
48.5,38.0578,127.579,834.363
48.6,38.0967,127.491,834.413
48.7,38.1343,127.402,834.464
48.8,38.1706,127.313,834.517
48.9,38.2056,127.223,834.571
49,38.2392,127.133,834.628
49.1,38.2715,127.043,834.686
49.2,38.3024,126.953,834.745
49.3,38.332,126.863,834.805
49.4,38.3602,126.772,834.867
49.5,38.3871,126.682,834.931
49.6,38.4125,126.592,834.995
49.7,38.4367,126.503,835.061
49.8,38.4594,126.413,835.127
49.9,38.4808,126.324,835.195
50,38.5008,126.236,835.263
50.1,38.5195,126.148,835.333
50.2,38.5369,126.061,835.403
50.3,38.5529,125.974,835.473
50.4,38.5676,125.888,835.545
50.5,38.5809,125.802,835.617
50.6,38.593,125.718,835.689
50.7,38.6037,125.634,835.762
50.8,38.6132,125.552,835.835
50.9,38.6214,125.47,835.909
51,38.6283,125.389,835.982
51.1,38.634,125.31,836.056
51.2,38.6385,125.231,836.13
51.3,38.6418,125.154,836.204
51.4,38.6439,125.078,836.278
51.5,38.6448,125.003,836.352
51.6,38.6445,124.929,836.426
51.7,38.6432,124.857,836.5
51.8,38.6407,124.786,836.573
51.9,38.6371,124.717,836.646
52,38.6324,124.649,836.719
52.1,38.6267,124.582,836.791
52.2,38.62,124.517,836.863
52.3,38.6123,124.453,836.934
52.4,38.6036,124.391,837.005
52.5,38.594,124.331,837.075
52.6,38.5834,124.272,837.145
52.7,38.572,124.214,837.214
52.8,38.5596,124.158,837.282
52.9,38.5464,124.104,837.349
53,38.5324,124.052,837.416
53.1,38.5176,124.001,837.481
53.2,38.502,123.952,837.546
53.3,38.4857,123.904,837.61
53.4,38.4686,123.858,837.673
53.5,38.4509,123.814,837.735
53.6,38.4325,123.772,837.796
53.7,38.4134,123.731,837.855
53.8,38.3938,123.692,837.914
53.9,38.3736,123.655,837.972
54,38.3528,123.619,838.028
54.1,38.3315,123.585,838.083
54.2,38.3097,123.553,838.137
54.3,38.2874,123.523,838.19
54.4,38.2646,123.494,838.242
54.5,38.2415,123.466,838.292
54.6,38.2179,123.441,838.341
54.7,38.194,123.417,838.389
54.8,38.1697,123.395,838.435
54.9,38.1451,123.374,838.48
55,38.1203,123.355,838.524
55.1,38.0951,123.338,838.567
55.2,38.0697,123.322,838.608
55.3,38.0441,123.308,838.648
55.4,38.0184,123.296,838.686
55.5,37.9924,123.285,838.723
55.6,37.9663,123.275,838.759
55.7,37.9401,123.267,838.793
55.8,37.9138,123.261,838.826
55.9,37.8874,123.255,838.857
56,37.8609,123.252,838.887
56.1,37.8344,123.25,838.916
56.2,37.8079,123.249,838.943
56.3,37.7815,123.249,838.969
56.4,37.755,123.251,838.994
56.5,37.7286,123.255,839.017
56.6,37.7023,123.259,839.039
56.7,37.6761,123.265,839.059
56.8,37.65,123.272,839.078
56.9,37.624,123.28,839.096
57,37.5981,123.29,839.112
57.1,37.5724,123.3,839.127
57.2,37.547,123.312,839.141
57.3,37.5217,123.325,839.153
