t,I,S,R
32.6,14.5044,337.215,648.281
32.7,14.7589,337.672,647.569
32.8,15.0192,338.109,646.872
32.9,15.2854,338.525,646.189
33,15.5575,338.921,645.522
33.1,15.8358,339.295,644.869
33.2,16.1202,339.648,644.232
33.3,16.4108,339.979,643.61
33.4,16.7078,340.287,643.005
33.5,17.0111,340.573,642.416
33.6,17.3209,340.836,641.843
33.7,17.6373,341.075,641.287
33.8,17.9602,341.291,640.749
33.9,18.2898,341.483,640.227
34,18.6262,341.65,639.724
34.1,18.9694,341.792,639.238
34.2,19.3194,341.909,638.771
34.3,19.6763,342.001,638.323
34.4,20.0401,342.067,637.893
34.5,20.4109,342.107,637.483
34.6,20.7887,342.12,637.092
34.7,21.1735,342.106,636.721
34.8,21.5653,342.065,636.37
34.9,21.9642,341.997,636.039
35,22.3701,341.9,635.729
35.1,22.7831,341.776,635.441
35.2,23.203,341.623,635.173
35.3,23.63,341.442,634.928
35.4,24.0639,341.232,634.704
35.5,24.5048,340.992,634.503
35.6,24.9525,340.724,634.324
35.7,25.4069,340.425,634.168
35.8,25.8681,340.097,634.035
35.9,26.3359,339.738,633.926
36,26.8102,339.35,633.84
36.1,27.291,338.931,633.778
36.2,27.7779,338.481,633.741
36.3,28.271,338.001,633.728
36.4,28.7701,337.49,633.74
36.5,29.275,336.949,633.776
36.6,29.7855,336.376,633.838
36.7,30.3014,335.773,633.926
36.8,30.8225,335.139,634.039
36.9,31.3486,334.474,634.178
37,31.8794,333.778,634.343
37.1,32.4146,333.051,634.534
37.2,32.9541,332.294,634.751
37.3,33.4974,331.507,634.996
37.4,34.0444,330.689,635.266
37.5,34.5946,329.842,635.564
37.6,35.1477,328.964,635.888
37.7,35.7034,328.057,636.239
37.8,36.2613,327.121,636.618
37.9,36.821,326.156,637.023
38,37.3821,325.162,637.456
38.1,37.9443,324.14,637.915
38.2,38.507,323.091,638.402
38.3,39.0699,322.014,638.916
38.4,39.6325,320.911,639.456
38.5,40.1943,319.782,640.024
38.6,40.7549,318.627,640.618
38.7,41.3137,317.447,641.239
38.8,41.8704,316.243,641.887
38.9,42.4244,315.015,642.561
39,42.9751,313.764,643.261
39.1,43.5222,312.491,643.987
39.2,44.065,311.196,644.739
39.3,44.603,309.881,645.516
39.4,45.1358,308.546,646.318
39.5,45.6627,307.192,647.145
39.6,46.1833,305.82,647.996
39.7,46.6971,304.431,648.872
39.8,47.2035,303.026,649.771
39.9,47.702,301.605,650.693
40,48.1922,300.17,651.638
40.1,48.6734,298.721,652.605
40.2,49.1452,297.26,653.594
40.3,49.6072,295.788,654.605
40.4,50.0587,294.306,655.636
40.5,50.4995,292.814,656.687
40.6,50.929,291.313,657.758
40.7,51.3467,289.806,658.847
40.8,51.7524,288.292,659.955
40.9,52.1455,286.774,661.081
41,52.5256,285.251,662.223
41.1,52.8925,283.725,663.382
41.2,53.2458,282.198,664.557
41.3,53.585,280.669,665.746
41.4,53.91,279.141,666.949
41.5,54.2205,277.613,668.166
41.6,54.5161,276.088,669.396
41.7,54.7967,274.566,670.637
41.8,55.062,273.049,671.889
41.9,55.3118,271.536,673.152
42,55.5461,270.03,674.424
42.1,55.7646,268.53,675.705
42.2,55.9672,267.039,676.994
42.3,56.1538,265.557,678.29
42.4,56.3244,264.084,679.592
42.5,56.479,262.622,680.899
42.6,56.6175,261.172,682.211
42.7,56.7399,259.733,683.527
42.8,56.8462,258.308,684.846
42.9,56.9366,256.897,686.167
43,57.0111,255.5,687.489
43.1,57.0698,254.118,688.812
43.2,57.1129,252.752,690.135
43.3,57.1404,251.403,691.457
43.4,57.1525,250.071,692.777
43.5,57.1495,248.756,694.094
43.6,57.1315,247.46,695.408
43.7,57.0987,246.183,696.719
43.8,57.0515,244.924,698.024
43.9,56.9899,243.686,699.324
44,56.9144,242.467,700.618
44.1,56.8252,241.269,701.905
44.2,56.7226,240.092,703.185
44.3,56.607,238.937,704.456
44.4,56.4785,237.802,705.719
44.5,56.3376,236.69,706.972
44.6,56.1846,235.6,708.216
44.7,56.0198,234.532,709.449
44.8,55.8436,233.486,710.67
44.9,55.6564,232.463,711.88
