t,I,S,R
13.15,524.661,28.162,447.177
13.2,522.121,27.5475,450.332
13.25,519.577,26.9534,453.47
13.3,517.03,26.3791,456.591
13.35,514.48,25.824,459.696
13.4,511.929,25.2874,462.784
13.45,509.377,24.7686,465.855
13.5,506.824,24.2672,468.909
13.55,504.271,23.7825,471.946
13.6,501.719,23.3139,474.967
13.65,499.168,22.861,477.971
13.7,496.619,22.4232,480.958
13.75,494.072,22,483.928
13.8,491.528,21.5909,486.882
13.85,488.986,21.1955,489.818
13.9,486.448,20.8133,492.738
13.95,483.914,20.444,495.642
14,481.384,20.087,498.529
14.05,478.859,19.742,501.399
14.1,476.339,19.4086,504.253
14.15,473.824,19.0864,507.09
14.2,471.315,18.775,509.91
14.25,468.812,18.4742,512.714
14.3,466.315,18.1836,515.502
14.35,463.824,17.9028,518.273
14.4,461.34,17.6315,521.028
14.45,458.864,17.3696,523.767
14.5,456.394,17.1165,526.489
14.55,453.932,16.8722,529.195
14.6,451.478,16.6362,531.886
14.65,449.032,16.4084,534.56
14.7,446.594,16.1885,537.218
14.75,444.164,15.9762,539.86
14.8,441.743,15.7713,542.486
14.85,439.331,15.5737,545.096
14.9,436.927,15.383,547.69
14.95,434.532,15.199,550.269
15,432.146,15.0216,552.832
15.05,429.77,14.8506,555.379
15.1,427.403,14.6858,557.911
15.15,425.046,14.5269,560.427
15.2,422.698,14.3738,562.928
15.25,420.36,14.2264,565.414
15.3,418.032,14.0844,567.884
15.35,415.713,13.9477,570.339
15.4,413.405,13.8162,572.779
15.45,411.107,13.6897,575.203
15.5,408.819,13.5681,577.613
15.55,406.541,13.4512,580.008
15.6,404.274,13.3389,582.388
15.65,402.016,13.231,584.753
15.7,399.77,13.1275,587.103
15.75,397.534,13.0281,589.438
15.8,395.308,12.9329,591.759
15.85,393.093,12.8416,594.065
15.9,390.889,12.7542,596.357
15.95,388.695,12.6706,598.635
16,386.512,12.5906,600.898
16.05,384.339,12.5142,603.146
16.1,382.178,12.4412,605.381
16.15,380.027,12.3716,607.602
16.2,377.887,12.3053,609.808
16.25,375.757,12.2422,612
16.3,373.639,12.1822,614.179
16.35,371.531,12.1252,616.344
16.4,369.434,12.0711,618.494
16.45,367.348,12.0199,620.632
16.5,365.273,11.9715,622.755
16.55,363.209,11.9259,624.865
16.6,361.156,11.8828,626.962
16.65,359.113,11.8424,629.045
16.7,357.081,11.8045,631.114
16.75,355.06,11.769,633.171
16.8,353.05,11.7359,635.214
16.85,351.05,11.7052,637.244
16.9,349.062,11.6767,639.261
16.95,347.084,11.6505,641.265
17,345.117,11.6264,643.257
17.05,343.161,11.6045,645.235
17.1,341.215,11.5846,647.2
17.15,339.28,11.5667,649.153
17.2,337.356,11.5508,651.094
17.25,335.442,11.5368,653.021
17.3,333.539,11.5247,654.936
17.35,331.647,11.5144,656.839
17.4,329.765,11.5059,658.729
17.45,327.893,11.4991,660.607
17.5,326.033,11.4941,662.473
17.55,324.182,11.4907,664.327
17.6,322.342,11.489,666.169
17.65,320.513,11.4888,667.998
17.7,318.694,11.4903,669.816
17.75,316.885,11.4932,671.622
17.8,315.087,11.4977,673.416
17.85,313.299,11.5036,675.198
17.9,311.521,11.5109,676.968
17.95,309.753,11.5196,678.727
18,307.995,11.5297,680.475
18.05,306.248,11.5412,682.211
18.1,304.511,11.5539,683.935
18.15,302.783,11.568,685.649
18.2,301.066,11.5833,687.351
18.25,299.359,11.5998,689.041
18.3,297.661,11.6176,690.721
18.35,295.974,11.6365,692.39
18.4,294.296,11.6566,694.047
18.45,292.628,11.6779,695.694
18.5,290.97,11.7003,697.329
18.55,289.322,11.7237,698.954
18.6,287.683,11.7483,700.568
18.65,286.054,11.7738,702.172
18.7,284.435,11.8005,703.765
18.75,282.825,11.8281,705.347
18.8,281.225,11.8568,706.919
18.85,279.634,11.8864,708.48
18.9,278.052,11.917,710.031
18.95,276.48,11.9485,711.571
19,274.917,11.981,713.102
19.05,273.364,12.0144,714.622
19.1,271.819,12.0486,716.132
19.15,270.284,12.0838,717.632
19.2,268.758,12.1198,719.122
19.25,267.241,12.1567,720.602
19.3,265.734,12.1944,722.072
19.35,264.235,12.2329,723.532
19.4,262.745,12.2723,724.983
19.45,261.264,12.3124,726.424
19.5,259.792,12.3533,727.855
19.55,258.329,12.395,729.276
19.6,256.874,12.4375,730.688
19.65,255.429,12.4807,732.091
19.7,253.991,12.5246,733.484
19.75,252.563,12.5693,734.868
19.8,251.143,12.6147,736.242
19.85,249.732,12.6608,737.607
19.9,248.329,12.7075,738.963
19.95,246.935,12.755,740.31
20,245.549,12.8031,741.648
20.05,244.172,12.8519,742.976
20.1,242.803,12.9014,744.296
20.15,241.442,12.9515,745.607
20.2,240.089,13.0022,746.909
20.25,238.745,13.0536,748.202
20.3,237.408,13.1056,749.486
20.35,236.08,13.1582,750.762
20.4,234.76,13.2114,752.029
20.45,233.448,13.2652,753.287
20.5,232.143,13.3196,754.537
20.55,230.847,13.3746,755.778
20.6,229.559,13.4301,757.011
20.65,228.278,13.4862,758.236
20.7,227.005,13.5429,759.452
20.75,225.74,13.6001,760.66
20.8,224.483,13.6579,761.859
20.85,223.233,13.7162,763.051
20.9,221.991,13.775,764.234
20.95,220.756,13.8344,765.409
21,219.529,13.8943,766.576
21.05,218.31,13.9547,767.735
21.1,217.098,14.0156,768.887
21.15,215.893,14.077,770.03
21.2,214.696,14.139,771.165
21.25,213.506,14.2014,772.293
21.3,212.323,14.2643,773.413
21.35,211.147,14.3277,774.525
21.4,209.979,14.3915,775.63
21.45,208.818,14.4559,776.727
21.5,207.663,14.5207,777.816
21.55,206.516,14.5859,778.898
21.6,205.376,14.6516,779.972
21.65,204.243,14.7178,781.039
21.7,203.117,14.7845,782.099
21.75,201.997,14.8515,783.151
21.8,200.885,14.9191,784.196
21.85,199.779,14.987,785.234
21.9,198.68,15.0554,786.264
21.95,197.588,15.1242,787.288
22,196.503,15.1935,788.304
22.05,195.424,15.2632,789.313
22.1,194.352,15.3333,790.315
22.15,193.286,15.4038,791.31
22.2,192.227,15.4747,792.299
22.25,191.174,15.546,793.28
22.3,190.128,15.6178,794.255
22.35,189.088,15.6899,795.222
22.4,188.054,15.7624,796.183
22.45,187.027,15.8354,797.137
22.5,186.006,15.9087,798.085
22.55,184.992,15.9824,799.026
22.6,183.984,16.0565,799.96
22.65,182.981,16.131,800.888
22.7,181.985,16.2058,801.809
22.75,180.995,16.2811,802.724
22.8,180.011,16.3567,803.632
22.85,179.034,16.4327,804.534
22.9,178.062,16.509,805.429
22.95,177.096,16.5858,806.318
23,176.136,16.6629,807.201
23.05,175.182,16.7403,808.078
23.1,174.233,16.8181,808.948
23.15,173.291,16.8963,809.813
23.2,172.354,16.9748,810.671
23.25,171.423,17.0537,811.523
23.3,170.498,17.1329,812.369
23.35,169.579,17.2125,813.209
23.4,168.665,17.2924,814.043
23.45,167.756,17.3727,814.871
23.5,166.854,17.4533,815.693
23.55,165.956,17.5343,816.509
23.6,165.065,17.6156,817.32
23.65,164.178,17.6972,818.124
23.7,163.298,17.7791,818.923
23.75,162.422,17.8614,819.716
23.8,161.552,17.9441,820.504
23.85,160.687,18.027,821.286
