t,I,S,R
69.5,0.0677322,116.286,4.6466
69.6,0.0674964,116.293,4.63966
69.7,0.0672616,116.3,4.63273
69.8,0.0670277,116.307,4.6258
69.9,0.0667949,116.314,4.61887
70,0.0665631,116.321,4.61195
70.1,0.0663323,116.329,4.60503
70.2,0.0661025,116.336,4.59812
70.3,0.0658736,116.343,4.5912
70.4,0.0656458,116.35,4.5843
70.5,0.0654189,116.357,4.57739
70.6,0.065193,116.364,4.5705
70.7,0.064968,116.371,4.5636
70.8,0.064744,116.379,4.55671
70.9,0.064521,116.386,4.54982
71,0.0642989,116.393,4.54294
71.1,0.0640778,116.4,4.53606
71.2,0.0638576,116.407,4.52919
71.3,0.0636384,116.414,4.52232
71.4,0.06342,116.421,4.51545
71.5,0.0632026,116.428,4.50859
71.6,0.0629862,116.435,4.50173
71.7,0.0627706,116.442,4.49488
71.8,0.062556,116.449,4.48803
71.9,0.0623423,116.456,4.48119
72,0.0621294,116.464,4.47435
72.1,0.0619175,116.471,4.46752
72.2,0.0617065,116.478,4.46069
72.3,0.0614964,116.485,4.45386
72.4,0.0612871,116.492,4.44704
72.5,0.0610788,116.499,4.44023
72.6,0.0608713,116.506,4.43342
72.7,0.0606647,116.513,4.42661
72.8,0.060459,116.52,4.41981
72.9,0.0602541,116.527,4.41301
73,0.0600501,116.534,4.40622
73.1,0.059847,116.541,4.39943
73.2,0.0596447,116.548,4.39265
73.3,0.0594432,116.555,4.38587
73.4,0.0592427,116.562,4.3791
73.5,0.0590429,116.569,4.37233
73.6,0.058844,116.576,4.36557
73.7,0.0586459,116.583,4.35882
73.8,0.0584487,116.589,4.35206
73.9,0.0582522,116.596,4.34532
74,0.0580566,116.603,4.33858
74.1,0.0578619,116.61,4.33184
74.2,0.0576679,116.617,4.32511
74.3,0.0574747,116.624,4.31838
74.4,0.0572824,116.631,4.31166
74.5,0.0570908,116.638,4.30495
74.6,0.0569001,116.645,4.29824
74.7,0.0567101,116.652,4.29153
74.8,0.0565209,116.659,4.28484
74.9,0.0563325,116.666,4.27814
75,0.0561449,116.672,4.27145
75.1,0.0559581,116.679,4.26477
75.2,0.0557721,116.686,4.25809
75.3,0.0555868,116.693,4.25142
75.4,0.0554023,116.7,4.24476
75.5,0.0552185,116.707,4.2381
75.6,0.0550356,116.714,4.23144
75.7,0.0548533,116.72,4.22479
75.8,0.0546719,116.727,4.21815
75.9,0.0544911,116.734,4.21151
76,0.0543112,116.741,4.20488
76.1,0.0541319,116.748,4.19825
76.2,0.0539534,116.754,4.19163
76.3,0.0537757,116.761,4.18502
76.4,0.0535986,116.768,4.17841
76.5,0.0534223,116.775,4.17181
76.6,0.0532467,116.782,4.16521
76.7,0.0530719,116.788,4.15862
76.8,0.0528977,116.795,4.15203
76.9,0.0527243,116.802,4.14545
77,0.0525516,116.809,4.13888
77.1,0.0523796,116.815,4.13231
77.2,0.0522083,116.822,4.12575
77.3,0.0520377,116.829,4.1192
77.4,0.0518678,116.835,4.11265
77.5,0.0516986,116.842,4.1061
