espera_carga,dt_espera_carga,espera_descarga,dt_espera_descarga,procesados,dt_procesados,estancia,dt_estancia,porcent_ocio,dt_porcent_ocio
0.000220,0.001425,0.000168,0.001096,79.116997,8.932485,5.781570,0.417595,83.084930,7.961525
0.000150,0.000817,0.000144,0.000734,79.018997,8.707515,5.776962,0.424200,82.871796,8.029257
0.000150,0.000817,0.000144,0.000734,79.018997,8.707515,5.776962,0.424200,82.871796,8.029257
0.000181,0.000949,0.000148,0.000747,79.438004,8.677055,5.787234,0.417079,83.068314,8.374493
0.000181,0.000949,0.000148,0.000747,79.438004,8.677055,5.787234,0.417079,83.068314,8.374493
0.000163,0.000915,0.000121,0.000629,79.144997,8.702053,5.776485,0.406386,82.965874,8.022367
0.000163,0.000915,0.000121,0.000629,79.144997,8.702053,5.776485,0.406386,82.965874,8.022367
0.000138,0.000628,0.000122,0.000629,79.122002,8.695436,5.764153,0.410293,83.618507,8.373627
0.000138,0.000628,0.000122,0.000629,79.122002,8.695436,5.764153,0.410293,83.618507,8.373627
0.000187,0.000943,0.000113,0.000587,78.671997,8.793738,5.789751,0.403843,83.205925,8.283877
0.000187,0.000943,0.000113,0.000587,78.671997,8.793738,5.789751,0.403843,83.205925,8.283877
0.000240,0.001680,0.000211,0.001413,78.733002,8.356634,5.777893,0.422019,83.072388,8.285629
0.000240,0.001680,0.000211,0.001413,78.733002,8.356634,5.777893,0.422019,83.072388,8.285629
0.000240,0.001406,0.000164,0.000912,79.345001,9.016279,5.769719,0.413246,83.552498,8.206940
0.000240,0.001406,0.000164,0.000912,79.345001,9.016279,5.769719,0.413246,83.552498,8.206940
0.000201,0.000979,0.000143,0.000677,78.834999,8.800309,5.780906,0.413076,83.214767,8.423892
0.000199,0.000957,0.000143,0.000742,79.095001,8.762692,5.760787,0.406444,82.934395,8.293690
0.000199,0.000957,0.000143,0.000742,79.095001,8.762692,5.760787,0.406444,82.934395,8.293690
0.000221,0.001196,0.000179,0.001016,79.224998,8.976251,5.789796,0.418782,83.299095,8.336576
0.000221,0.001196,0.000179,0.001016,79.224998,8.976251,5.789796,0.418782,83.299095,8.336576
0.000285,0.001523,0.000184,0.000835,78.805000,8.944104,5.769642,0.429431,82.962616,8.330090
0.000285,0.001523,0.000184,0.000835,78.805000,8.944104,5.769642,0.429431,82.962616,8.330090
0.000184,0.000889,0.000156,0.000825,78.731003,8.789639,5.769524,0.415313,82.994232,8.083058
0.000184,0.000889,0.000156,0.000825,78.731003,8.789639,5.769524,0.415313,82.994232,8.083058
0.000199,0.001103,0.000169,0.000964,78.887001,8.955344,5.769081,0.400932,83.274910,8.138011
