Probabilidad,Diferencia,Esperado
0.800000,7,-24.000000
0.800000,8,-48.000000
0.800000,9,-54.000000
0.800000,10,-54.000000
0.900000,3,56.000000
0.900000,4,52.000000
0.900000,5,46.000000
0.900000,6,26.000000
0.900000,7,16.000000
0.900000,8,0.000000
0.900000,9,-16.000000
0.900000,10,-32.000000
1.000000,3,70.000000
1.000000,4,60.000000
1.000000,5,50.000000
1.000000,6,40.000000
1.000000,7,30.000000
1.000000,8,20.000000
1.000000,9,10.000000
1.000000,10,0.000000
0.100000,3,54.000000
0.100000,4,50.000000
0.100000,5,32.000000
0.100000,6,26.000000
0.100000,7,-6.000000
0.100000,8,2.000000
0.100000,9,-10.000000
0.100000,10,-12.000000
0.200000,3,60.000000
0.200000,4,32.000000
0.200000,5,-12.000000
0.200000,6,8.000000
0.200000,7,-22.000000
0.200000,8,-2.000000
0.200000,9,-62.000000
0.200000,10,-92.000000
0.300000,3,54.000000
0.300000,4,22.000000
0.300000,5,-18.000000
0.300000,6,-56.000000
0.300000,7,-70.000000
0.300000,8,-88.000000
0.300000,9,-110.000000
0.300000,10,-146.000000
0.400000,3,34.000000
0.400000,4,-44.000000
0.400000,5,-88.000000
0.400000,6,-144.000000
0.400000,7,-174.000000
0.400000,8,-146.000000
0.400000,9,-224.000000
0.400000,10,-396.000000
0.500000,3,16.000000
0.500000,4,-26.000000
0.500000,5,-176.000000
0.500000,6,-214.000000
0.500000,7,-552.000000
0.500000,8,-716.000000
0.500000,9,-1000.000000
0.500000,10,-1152.000000
0.600000,3,-10.000000
0.600000,4,-42.000000
0.600000,5,-34.000000
0.600000,6,-126.000000
0.600000,7,-158.000000
0.600000,8,-194.000000
0.600000,9,-278.000000
0.600000,10,-610.000000
0.700000,3,42.000000
0.700000,4,40.000000
0.700000,5,-36.000000
0.700000,6,-50.000000
0.700000,7,-84.000000
0.700000,8,-84.000000
0.700000,9,-124.000000
0.700000,10,-130.000000
0.800000,3,54.000000
0.800000,4,36.000000
0.800000,5,22.000000
0.800000,6,-58.000000
0.800000,7,-6.000000
0.800000,8,-56.000000
0.800000,9,-56.000000
0.800000,10,-72.000000
0.900000,3,60.000000
0.900000,4,48.000000
0.900000,5,38.000000
0.900000,6,22.000000
0.900000,7,6.000000
0.900000,8,-6.000000
0.900000,9,-6.000000
0.900000,10,-18.000000
1.000000,3,70.000000
1.000000,4,60.000000
1.000000,5,50.000000
1.000000,6,40.000000
1.000000,7,30.000000
1.000000,8,20.000000
1.000000,9,10.000000
1.000000,10,0.000000
0.100000,3,62.000000
0.100000,4,52.000000
0.100000,5,44.000000
0.100000,6,24.000000
0.100000,7,28.000000
0.100000,8,-10.000000
0.100000,9,-42.000000
0.100000,10,-24.000000
0.200000,3,50.000000
0.200000,4,42.000000
0.200000,5,20.000000
0.200000,6,-12.000000
0.200000,7,-20.000000
0.200000,8,-36.000000
0.200000,9,-58.000000
0.200000,10,-68.000000
0.300000,3,0.000000
0.300000,4,12.000000
0.300000,5,-18.000000
0.300000,6,-16.000000
0.300000,7,-46.000000
0.300000,8,-130.000000
0.300000,9,-90.000000
0.300000,10,-132.000000
0.400000,3,-8.000000
0.400000,4,-54.000000
0.400000,5,-74.000000
0.400000,6,-218.000000
0.400000,7,-142.000000
0.400000,8,-300.000000
0.400000,9,-208.000000
0.400000,10,-444.000000
0.500000,3,42.000000
0.500000,4,-34.000000
0.500000,5,-116.000000
0.500000,6,-504.000000
0.500000,7,-362.000000
0.500000,8,-540.000000
0.500000,9,-412.000000
0.500000,10,-822.000000
0.600000,3,46.000000
0.600000,4,-8.000000
0.600000,5,-138.000000
0.600000,6,-154.000000
0.600000,7,-206.000000
0.600000,8,-182.000000
0.600000,9,-320.000000
0.600000,10,-340.000000
0.700000,3,22.000000
0.700000,4,6.000000
0.700000,5,-58.000000
0.700000,6,-88.000000
0.700000,7,-54.000000
0.700000,8,-92.000000
0.700000,9,-112.000000
0.700000,10,-142.000000
0.800000,3,46.000000
0.800000,4,30.000000
0.800000,5,6.000000
0.800000,6,-4.000000
0.800000,7,-12.000000
0.800000,8,-56.000000
0.800000,9,-56.000000
0.800000,10,-62.000000
0.900000,3,66.000000
0.900000,4,54.000000
0.900000,5,42.000000
0.900000,6,20.000000
0.900000,7,14.000000
0.900000,8,-10.000000
0.900000,9,-2.000000
0.900000,10,-24.000000
1.000000,3,70.000000
1.000000,4,60.000000
1.000000,5,50.000000
