Veces,Probabilidad,Diferencia,Pago_Lanzamiento,Pago_Finalizar,Esperado
10,0.500000,3,10.000000,100.000000,34.000000
500,0.500000,3,10.000000,100.000000,6.040000
10000,0.500000,3,10.000000,100.000000,9.170000
10,0.500000,3,10.000000,100.000000,18.000000
500,0.500000,3,10.000000,100.000000,7.560000
10000,0.500000,3,10.000000,100.000000,9.954000
10,0.500000,3,10.000000,100.000000,50.000000
500,0.500000,3,10.000000,100.000000,9.560000
10000,0.500000,3,10.000000,100.000000,11.034000
10,0.500000,3,10.000000,100.000000,-32.000000
500,0.500000,3,10.000000,100.000000,13.560000
10000,0.500000,3,10.000000,100.000000,9.848000
10,0.500000,3,10.000000,100.000000,12.000000
500,0.500000,3,10.000000,100.000000,8.560000
10000,0.500000,3,10.000000,100.000000,10.106000
10,0.500000,3,10.000000,100.000000,-2.000000
500,0.500000,3,10.000000,100.000000,13.040000
10000,0.500000,3,10.000000,100.000000,10.418000
10,0.500000,3,10.000000,100.000000,20.000000
500,0.500000,3,10.000000,100.000000,7.080000
10000,0.500000,3,10.000000,100.000000,9.556000
10,0.500000,3,10.000000,100.000000,34.000000
500,0.500000,3,10.000000,100.000000,16.840000
10000,0.500000,3,10.000000,100.000000,10.708000
10,0.500000,3,10.000000,100.000000,-8.000000
500,0.500000,3,10.000000,100.000000,12.400000
10000,0.500000,3,10.000000,100.000000,8.812000
10,0.500000,3,10.000000,100.000000,-2.000000
500,0.500000,3,10.000000,100.000000,3.400000
10000,0.500000,3,10.000000,100.000000,10.028000
10,0.500000,3,10.000000,100.000000,-2.000000
500,0.500000,3,10.000000,100.000000,10.800000
10000,0.500000,3,10.000000,100.000000,9.416000
10,0.500000,3,10.000000,100.000000,22.000000
500,0.500000,3,10.000000,100.000000,7.000000
10000,0.500000,3,10.000000,100.000000,9.636000
10,0.500000,3,10.000000,100.000000,18.000000
500,0.500000,3,10.000000,100.000000,5.800000
