Veces,Probabilidad,Diferencia,Pago_Lanzamiento,Pago_Finalizar,Esperado
500,0.500000,10,10.000000,100.000000,-928.520020
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.040001
500,0.500000,3,10.000000,100.000000,4.360000
500,0.500000,4,10.000000,100.000000,-66.720001
500,0.500000,5,10.000000,100.000000,-147.600006
500,0.500000,6,10.000000,100.000000,-255.360001
500,0.500000,7,10.000000,100.000000,-382.440002
500,0.500000,8,10.000000,100.000000,-571.159973
500,0.500000,9,10.000000,100.000000,-680.200012
500,0.500000,10,10.000000,100.000000,-907.359985
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,61.200001
500,0.500000,3,10.000000,100.000000,10.440000
500,0.500000,4,10.000000,100.000000,-55.040001
500,0.500000,5,10.000000,100.000000,-167.479996
500,0.500000,6,10.000000,100.000000,-267.920013
500,0.500000,7,10.000000,100.000000,-387.839996
500,0.500000,8,10.000000,100.000000,-543.280029
500,0.500000,9,10.000000,100.000000,-706.719971
500,0.500000,10,10.000000,100.000000,-994.599976
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.160000
500,0.500000,3,10.000000,100.000000,12.360000
500,0.500000,4,10.000000,100.000000,-68.639999
500,0.500000,5,10.000000,100.000000,-150.759995
500,0.500000,6,10.000000,100.000000,-254.880005
500,0.500000,7,10.000000,100.000000,-403.399994
500,0.500000,8,10.000000,100.000000,-573.520020
500,0.500000,9,10.000000,100.000000,-710.400024
500,0.500000,10,10.000000,100.000000,-932.840027
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.160000
500,0.500000,3,10.000000,100.000000,13.080000
500,0.500000,4,10.000000,100.000000,-56.840000
500,0.500000,5,10.000000,100.000000,-167.960007
500,0.500000,6,10.000000,100.000000,-253.600006
500,0.500000,7,10.000000,100.000000,-387.160004
500,0.500000,8,10.000000,100.000000,-508.359985
500,0.500000,9,10.000000,100.000000,-742.000000
500,0.500000,10,10.000000,100.000000,-925.119995
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,59.799999
500,0.500000,3,10.000000,100.000000,18.440001
500,0.500000,4,10.000000,100.000000,-62.599998
500,0.500000,5,10.000000,100.000000,-144.199997
500,0.500000,6,10.000000,100.000000,-253.160004
500,0.500000,7,10.000000,100.000000,-398.399994
500,0.500000,8,10.000000,100.000000,-506.440002
500,0.500000,9,10.000000,100.000000,-702.280029
500,0.500000,10,10.000000,100.000000,-873.919983
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,59.480000
500,0.500000,3,10.000000,100.000000,8.000000
500,0.500000,4,10.000000,100.000000,-66.639999
500,0.500000,5,10.000000,100.000000,-144.759995
500,0.500000,6,10.000000,100.000000,-252.279999
500,0.500000,7,10.000000,100.000000,-385.640015
500,0.500000,8,10.000000,100.000000,-525.200012
500,0.500000,9,10.000000,100.000000,-691.039978
500,0.500000,10,10.000000,100.000000,-931.840027
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,59.520000
500,0.500000,3,10.000000,100.000000,9.720000
500,0.500000,4,10.000000,100.000000,-59.599998
500,0.500000,5,10.000000,100.000000,-155.039993
500,0.500000,6,10.000000,100.000000,-242.960007
500,0.500000,7,10.000000,100.000000,-420.959991
500,0.500000,8,10.000000,100.000000,-497.720001
500,0.500000,9,10.000000,100.000000,-682.799988
500,0.500000,10,10.000000,100.000000,-879.200012
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.360001
500,0.500000,3,10.000000,100.000000,10.600000
500,0.500000,4,10.000000,100.000000,-70.639999
500,0.500000,5,10.000000,100.000000,-138.880005
500,0.500000,6,10.000000,100.000000,-273.239990
500,0.500000,7,10.000000,100.000000,-433.079987
500,0.500000,8,10.000000,100.000000,-585.479980
500,0.500000,9,10.000000,100.000000,-718.520020
500,0.500000,10,10.000000,100.000000,-925.359985
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,61.000000
500,0.500000,3,10.000000,100.000000,4.880000
500,0.500000,4,10.000000,100.000000,-66.959999
500,0.500000,5,10.000000,100.000000,-146.639999
500,0.500000,6,10.000000,100.000000,-273.880005
500,0.500000,7,10.000000,100.000000,-384.480011
500,0.500000,8,10.000000,100.000000,-547.640015
500,0.500000,9,10.000000,100.000000,-728.200012
500,0.500000,10,10.000000,100.000000,-913.159973
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,61.840000
500,0.500000,3,10.000000,100.000000,11.120000
500,0.500000,4,10.000000,100.000000,-63.360001
500,0.500000,5,10.000000,100.000000,-138.240005
500,0.500000,6,10.000000,100.000000,-266.119995
500,0.500000,7,10.000000,100.000000,-395.079987
500,0.500000,8,10.000000,100.000000,-532.400024
500,0.500000,9,10.000000,100.000000,-733.840027
500,0.500000,10,10.000000,100.000000,-842.719971
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,58.919998
500,0.500000,3,10.000000,100.000000,7.560000
500,0.500000,4,10.000000,100.000000,-61.080002
500,0.500000,5,10.000000,100.000000,-140.440002
500,0.500000,6,10.000000,100.000000,-278.480011
