porcentaje_ocio,media_en_cola
32.7109,1.20185
32.4438,1.18143
32.2571,1.38853
34.1373,1.26284
32.1022,1.37445
33.0442,1.33536
31.4025,1.3874
32.3617,1.36493
33.4512,1.2679
32.8106,1.29403
32.322,1.36029
32.1331,1.1704
32.3309,1.33317
33.6799,1.19083
32.9826,1.15011
31.3687,1.41
34.5522,1.12292
31.9652,1.44681
30.3233,1.42485
32.4944,1.36549
31.528,1.35571
33.3309,1.28305
32.7868,1.32096
32.1123,1.30437
31.2118,1.44476
32.7498,1.27343
33.7906,1.22981
32.5508,1.26097
32.7773,1.35249
33.068,1.25601
31.6185,1.38157
32.762,1.32185
30.5816,1.36612
33.9291,1.21202
32.817,1.32579
33.6566,1.17299
33.7288,1.16831
32.823,1.24321
31.3382,1.3342
32.7043,1.28092
32.4198,1.31236
32.4795,1.30041
33.4646,1.20282
33.6176,1.1899
32.9533,1.20002
31.3229,1.18418
31.9752,1.40892
33.1537,1.19749
32.2642,1.37536
31.5508,1.38918
33.2107,1.19957
32.6344,1.31407
32.5499,1.33491
31.9172,1.26805
32.6684,1.24848
33.6993,1.30504
32.491,1.24838
32.1285,1.36783
33.8829,1.17909
32.1171,1.19848
33.4279,1.19081
32.4547,1.3696
32.1798,1.33157
32.8827,1.28542
31.4279,1.38876
32.8265,1.20998
32.6877,1.19828
32.369,1.26343
32.6306,1.34186
32.7742,1.17742
31.3267,1.3823
31.0323,1.32458
32.8132,1.27341
31.9227,1.25697
34.067,1.15085
33.8067,1.11775
32.7121,1.29842
33.9009,1.29299
32.4531,1.41743
34.497,1.1192
32.4022,1.3112
31.4,1.53973
32.3605,1.28891
32.0941,1.37271
32.6551,1.27766
33.2042,1.3675
31.8989,1.53687
34.3292,1.23553
32.8462,1.26188
32.5931,1.24015
33.4677,1.17447
33.4148,1.3845
33.4792,1.14147
33.4565,1.22272
31.5213,1.38752
32.0081,1.16973
32.4848,1.36472
32.1823,1.37119
33.7392,1.19821
33.8329,1.25419
29.9002,1.51972
32.9089,1.27394
32.9065,1.31517
32.2189,1.28172
33.589,1.29682
32.9602,1.31172
31.7914,1.31593
32.5,1.28417
32.7192,1.30668
32.8133,1.21329
33.0552,1.34786
32.4385,1.43473
33.8472,1.22441
33.933,1.17396
32.1504,1.34847
29.8823,1.56303
32.8551,1.33958
32.4812,1.28836
33.1047,1.35442
32.2224,1.25552
32.8423,1.34416
31.3848,1.4112
32.2691,1.40985
32.2537,1.43222
31.6204,1.26452
33.0608,1.25991
31.9862,1.28596
31.7759,1.35797
32.8081,1.16463
32.1441,1.36658
31.4289,1.42804
32.7094,1.18935
32.2593,1.48468
30.9189,1.44605
31.7222,1.33783
30.3342,1.54008
31.8804,1.36052
33.3945,1.16297
31.1183,1.29116
32.8679,1.18448
32.1174,1.38895
30.8037,1.37796
33.5402,1.17042
32.2487,1.33626
34.2311,1.13973
32.596,1.37259
31.1746,1.48322
34.0717,1.28487
32.1615,1.35959
33.1696,1.34541
32.9841,1.333
32.3997,1.17911
31.7182,1.38354
33.0302,1.24899
33.2296,1.215
32.5675,1.30336
33.4819,1.30002
33.2513,1.24487
33.2194,1.16714
31.7541,1.41413
30.8239,1.72003
33.1576,1.32326
31.9078,1.2787
34.7394,1.14108
30.9774,1.45053
33.1162,1.07239
30.2283,1.48565
33.3063,1.29294
33.1417,1.34
33.3734,1.20764
32.11,1.35776
33.3069,1.19877
33.0245,1.20064
34.0471,1.2734
31.9263,1.40681
32.4039,1.2227
32.5511,1.33237
32.1788,1.30872
31.5728,1.37994
33.2886,1.18838
31.4218,1.32752
31.6837,1.40504
32.2564,1.29856
33.6652,1.26359
31.2825,1.33757
33.7194,1.17487
32.3929,1.3362
31.9256,1.41471
33.1464,1.4212
34.3272,1.19671
32.0572,1.2642
32.2972,1.29612
31.9268,1.21701
32.7639,1.24252
31.8461,1.40225
31.9722,1.50448
31.5927,1.36732
31.6993,1.31644
32.9143,1.26769
31.9661,1.38493
30.8185,1.46879
32.6581,1.3054
33.2551,1.32919
32.4934,1.22882
