porcentaje_ocio,media_en_cola
34.9692,1.13211
31.917,1.35902
33.958,1.21195
33.5515,1.31944
34.2238,1.18757
34.8146,1.25132
34.7679,1.20723
32.7851,1.39942
33.3129,1.19299
31.9288,1.57052
30.7285,1.53268
33.4522,1.37884
34.868,1.27936
34.5675,1.19818
34.6717,1.29743
33.7873,1.17859
33.3728,1.39242
34.0321,1.29623
33.2361,1.27069
33.9593,1.34914
33.2366,1.31055
32.3785,1.43347
34.0184,1.20534
33.757,1.28549
32.5264,1.47098
34.7301,1.236
33.4018,1.42388
32.7608,1.34168
33.0038,1.38899
35.151,1.19923
34.4747,1.24638
33.6588,1.24672
32.5106,1.5962
34.069,1.46009
32.6991,1.41641
34.2435,1.22846
33.9634,1.22817
33.3678,1.46072
32.1139,1.54532
33.6383,1.32102
33.8181,1.16602
33.3862,1.34381
33.6183,1.33778
33.7469,1.26553
34.513,1.22743
32.8696,1.36674
34.4917,1.14381
31.1959,1.4211
33.3813,1.36728
34.1707,1.16727
33.3225,1.27362
33.2795,1.21366
32.3644,1.35894
31.8988,1.52606
33.9524,1.31834
33.3214,1.26564
34.8165,1.16243
33.3927,1.28813
33.119,1.38182
35.1595,1.14823
34.1942,1.27871
31.625,1.42674
32.8198,1.4039
34.6725,1.17476
32.8415,1.40162
34.4571,1.20052
34.2627,1.23892
32.7093,1.42052
32.4528,1.40543
32.7251,1.40639
32.8652,1.31384
34.5737,1.22695
32.5299,1.44084
35.8469,1.22339
33.5796,1.26552
34.7149,1.16224
33.8711,1.278
32.9548,1.32918
32.4073,1.36825
33.258,1.41328
33.0985,1.41794
36.1808,1.15198
34.3489,1.18287
32.7375,1.42083
32.5106,1.24137
34.2024,1.1795
32.9756,1.28259
33.9252,1.40194
34.1704,1.28923
34.6372,1.20929
34.2313,1.36043
33.1349,1.31177
34.1295,1.33167
34.1809,1.30612
34.3361,1.20448
33.2434,1.36109
32.9742,1.27061
32.8513,1.44996
32.8538,1.47817
33.873,1.23086
32.6839,1.30326
33.6768,1.34223
32.1551,1.34889
33.2437,1.34799
32.4164,1.46445
33.6254,1.39908
34.5687,1.21745
35.0934,1.1368
32.4581,1.39768
31.9578,1.33221
33.555,1.37616
32.4907,1.34925
32.9829,1.28561
33.165,1.36929
32.5348,1.51616
33.428,1.30618
32.5974,1.44894
31.9401,1.43591
33.1399,1.30059
34.0038,1.35693
32.6049,1.44161
30.9061,1.66113
33.5984,1.33392
33.2469,1.31857
35.6191,1.2689
33.6438,1.19798
34.5734,1.33919
