porcentaje_ocio,media_en_cola
33.937,1.19759
33.292,1.26391
34.0483,1.33628
33.5301,1.3767
33.0262,1.35525
34.4038,1.25846
33.6826,1.34842
31.1718,1.61631
32.4277,1.40637
33.8619,1.39077
33.9492,1.25747
34.9145,1.10993
32.9619,1.45547
32.7469,1.50789
33.738,1.42386
33.5252,1.32989
34.1246,1.33152
34.6976,1.33204
32.6754,1.27548
32.6302,1.47313
30.8528,1.51801
31.7422,1.37876
34.1462,1.2579
34.1671,1.24153
33.4278,1.25056
32.8001,1.37248
34.0833,1.26241
33.4242,1.31888
33.5218,1.37418
32.7016,1.32059
33.571,1.30015
35.8173,1.17295
32.3619,1.6597
34.1755,1.24796
33.8232,1.31432
32.0689,1.45447
34.5016,1.24058
34.3177,1.22068
35.2896,1.31867
33.8137,1.35714
34.1372,1.19112
32.4174,1.52486
33.3744,1.49569
35.4069,1.22478
33.0351,1.51241
34.1962,1.34658
33.2485,1.36661
32.4112,1.62216
33.8245,1.38355
34.2497,1.25446
32.5814,1.41077
34.2492,1.32679
33.9239,1.53074
33.0899,1.42461
30.4652,1.59892
33.9726,1.27682
34.2609,1.23316
32.9345,1.40153
33.312,1.44482
32.8627,1.3568
33.0313,1.35943
32.6142,1.28669
34.5794,1.28967
34.4259,1.30487
35.1846,1.33899
32.7498,1.3689
33.726,1.3967
32.7735,1.48895
32.7385,1.35288
34.8192,1.25854
34.7391,1.29332
30.746,1.72168
33.9109,1.44242
34.7527,1.20745
32.2965,1.41221
34.1135,1.36524
35.5383,1.28779
33.9464,1.29842
32.1716,1.64679
33.9198,1.40948
33.8434,1.25855
31.8643,1.47528
34.6288,1.22522
33.3363,1.28533
32.9216,1.41989
34.2765,1.30184
32.5075,1.33746
31.3428,1.57281
34.5031,1.33233
34.4666,1.28786
34.2289,1.35239
32.0476,1.56115
31.5396,1.48746
32.9399,1.21592
33.7896,1.32941
33.3237,1.45353
33.3732,1.29072
33.1012,1.51153
32.7775,1.39358
34.7664,1.27323
34.2916,1.36323
32.5425,1.39042
33.0738,1.3603
34.9413,1.21727
31.7239,1.55222
33.5507,1.37935
32.5141,1.46431
35.3382,1.16237
34.0895,1.17813
33.0551,1.31482
33.0765,1.44795
33.7344,1.40983
32.5822,1.42565
34.3333,1.36428
33.0613,1.34716
32.2736,1.35484
32.696,1.3271
34.9626,1.24476
34.1017,1.33387
33.2502,1.21655
34.4924,1.27966
32.1975,1.33621
33.203,1.36642
31.2738,1.66479
33.4403,1.27791
33.2895,1.40278
32.9938,1.44298
35.1791,1.19127
32.9295,1.35147
34.8347,1.22524
32.0868,1.45418
34.057,1.30117
33.055,1.24948
35.4376,1.23516
32.4884,1.3466
32.5143,1.60687
32.9556,1.41317
33.0684,1.3312
33.3517,1.327
34.6153,1.18739
34.8345,1.09417
33.1916,1.50472
31.6988,1.44033
33.9687,1.28679
32.2197,1.40912
34.8706,1.29027
34.4222,1.27455
34.4476,1.36873
32.3563,1.48693
34.158,1.2914
32.9514,1.29403
33.7298,1.38378
33.3363,1.26594
33.3533,1.36431
33.3803,1.31467
33.449,1.29483
33.8031,1.34482
31.8788,1.48687
33.0528,1.31814
33.1342,1.38138
34.1692,1.32124
33.4259,1.42015
33.4235,1.37338
33.8431,1.44004
34.8282,1.28971
33.4608,1.2756
33.141,1.30305
34.7864,1.20077
33.6284,1.3119
33.2324,1.2807
33.4024,1.33485
33.4429,1.44629
34.1397,1.3435
34.153,1.29288
31.4596,1.6208
33.0504,1.39986
32.9742,1.41927
33.5896,1.35718
33.5334,1.39037
34.1507,1.28096
34.3284,1.37448
33.0712,1.2762
35.0032,1.1989
34.3136,1.188
34.0654,1.23642
35.7618,1.2111
33.6191,1.42783
35.1434,1.22688
33.1225,1.46844
33.6828,1.36301
33.755,1.29322
32.2342,1.45059
32.951,1.48337
32.6996,1.28915
