porcentaje_ocio,media_en_cola,tiempo_ejecucion
32.0044,1.44761,0.00634342
34.5392,1.28376,0.00645409
33.1305,1.29805,0.00652213
34.6295,1.18829,0.00650537
33.7548,1.46037,0.0064373
32.118,1.44026,0.00643706
31.6241,1.62551,0.00624943
32.9831,1.28794,0.00644331
32.2017,1.44213,0.00639794
33.2136,1.44088,0.00646368
31.4917,1.54276,0.0063361
33.7373,1.39986,0.00639676
34.7624,1.2399,0.00652056
32.8146,1.32024,0.00639396
33.2404,1.36884,0.00645836
34.1031,1.25344,0.00643587
32.3943,1.38284,0.00635903
33.6839,1.25483,0.00648576
33.2765,1.29825,0.00654449
32.9984,1.37132,0.00657581
33.6751,1.39962,0.00641695
32.7942,1.35291,0.00648037
34.9057,1.28606,0.0065981
33.9161,1.22513,0.00643401
32.9374,1.28791,0.00642692
35.7225,1.1412,0.00653349
32.627,1.40808,0.00636966
33.4503,1.22255,0.00646029
33.5948,1.25939,0.00652218
33.9799,1.18914,0.00644857
31.9585,1.51131,0.00640875
33.1777,1.31221,0.0065669
33.4543,1.30093,0.00643323
32.1585,1.40272,0.00636345
33.1187,1.27087,0.00649067
31.7919,1.42364,0.00638052
34.1816,1.32242,0.00646116
34.0515,1.27865,0.00642882
33.4761,1.28563,0.00649875
33.206,1.35836,0.00648444
32.2302,1.41229,0.00641082
33.5591,1.27462,0.00640594
32.8657,1.34738,0.00643217
33.8787,1.21471,0.00640536
32.7147,1.38762,0.00645239
32.5067,1.54058,0.00639164
32.9981,1.28663,0.00656845
33.7839,1.3061,0.00647988
34.0334,1.22969,0.00638831
34.2502,1.33007,0.00647395
32.6473,1.42213,0.00642454
33.1877,1.40158,0.00643471
32.8679,1.32952,0.00642245
33.8995,1.28285,0.00643022
33.2713,1.3759,0.00642709
33.3041,1.27435,0.00640154
31.9238,1.39246,0.00633582
32.2351,1.43809,0.00642068
33.8798,1.23377,0.00648981
33.8308,1.3688,0.00645481
34.0644,1.21691,0.00648843
33.6318,1.36065,0.00647824
33.7322,1.27997,0.00638083
33.2755,1.34953,0.0064011
33.0095,1.34516,0.00647026
35.8592,1.2318,0.0065585
33.1348,1.42184,0.00641166
32.1515,1.38449,0.00629079
32.9107,1.36324,0.00641756
33.6847,1.25603,0.00641704
33.2574,1.34774,0.006408
32.9161,1.61999,0.00638353
34.6217,1.23145,0.00652179
32.5607,1.42388,0.00646084
31.479,1.57297,0.00634959
33.666,1.28265,0.00655165
32.8769,1.30197,0.00640689
33.4814,1.23886,0.00640192
33.2064,1.25347,0.00642825
33.369,1.23289,0.00638437
32.5639,1.32475,0.00640604
33.8934,1.23364,0.00646912
33.5272,1.26511,0.00650498
33.2167,1.33064,0.00635941
33.7062,1.2976,0.00633798
33.1733,1.28145,0.00639242
32.988,1.27967,0.00638601
33.7574,1.29021,0.00654207
34.1665,1.24504,0.00647782
32.767,1.3291,0.00643039
34.0188,1.25919,0.00652702
33.6471,1.31761,0.0064834
33.5747,1.32985,0.00636211
34.2754,1.29865,0.00639927
32.6631,1.51517,0.0063976
33.0118,1.3682,0.0064018
33.5643,1.32431,0.0064872
35.1529,1.09545,0.0065977
35.5501,1.1571,0.00651116
32.5609,1.42542,0.00636845
33.4927,1.2332,0.00655947
33.4739,1.26743,0.00648416
35.1586,1.15069,0.00655142
33.6423,1.31435,0.00646535
33.1271,1.34639,0.00644344
32.5124,1.38033,0.00640774
33.9343,1.30533,0.00643594
30.6247,1.65935,0.00629302
32.4857,1.44478,0.00636392
33.9694,1.25849,0.00644383
34.6551,1.22672,0.00651011
32.6555,1.4002,0.00639049
33.2252,1.20612,0.00636358
32.2442,1.49195,0.00641448
32.8114,1.33359,0.0064935
33.2072,1.3097,0.00639236
32.921,1.38349,0.00647839
32.2344,1.29249,0.00642151
34.4949,1.23689,0.00658145
34.5368,1.26115,0.00652748
33.3344,1.28699,0.00643751
32.6825,1.35274,0.00635835
32.6496,1.40152,0.00655971
32.8293,1.35229,0.00641279
33.7873,1.28767,0.00646035
33.9907,1.3009,0.00655232
32.106,1.39435,0.00639202
34.5165,1.27357,0.00644859
35.4482,1.09362,0.00648243
34.3547,1.18873,0.00656841
32.5893,1.69213,0.00636504
33.6245,1.33245,0.00654873
33.1973,1.31056,0.00650509
36.0115,1.07445,0.00663686
34.1101,1.2174,0.00651272
32.6089,1.3219,0.00649492
