	t	x	y	pescados
	610	4.71839e+06	4602.49	4230.65
	611	4.71304e+06	4686.51	4230.65
	612	4.70759e+06	4771.71	4230.65
	613	4.70203e+06	4858.07	4230.65
	614	4.69637e+06	4945.62	4230.65
	615	4.6906e+06	5034.34	4230.65
	616	4.68473e+06	5124.23	4230.65
	617	4.67875e+06	5215.3	4230.65
	618	4.67266e+06	5307.55	4230.65
	619	4.66646e+06	5400.97	4230.65
	620	4.66015e+06	5495.57	4230.65
	621	4.65374e+06	5591.33	4230.65
	622	4.64721e+06	5688.26	4230.65
	623	4.64057e+06	5786.36	4230.65
	624	4.63382e+06	5885.61	4230.65
	625	4.62696e+06	5986.01	4230.65
	626	4.61999e+06	6087.56	4230.65
	627	4.61291e+06	6190.26	4230.65
	628	4.60571e+06	6294.08	4230.65
	629	4.59839e+06	6399.02	4230.65
	630	4.59096e+06	6505.08	4230.65
	631	4.58342e+06	6612.24	4230.65
	632	4.57576e+06	6720.49	4230.65
	633	4.56798e+06	6829.82	4230.65
	634	4.56008e+06	6940.22	4230.65
	635	4.55207e+06	7051.66	4230.65
	636	4.54394e+06	7164.15	4230.65
	637	4.53569e+06	7277.66	4230.65
	638	4.55051e+06	2595.01	8961.13
	639	4.5643e+06	2643.84	8961.13
	640	4.57711e+06	2693.65	8961.13
	641	4.58899e+06	2744.47	8961.13
	642	4.59998e+06	2796.31	8961.13
	643	4.61011e+06	2849.16	8961.13
	644	4.61943e+06	2903.04	8961.13
	645	4.62798e+06	2957.96	8961.13
	646	4.63578e+06	3013.93	8961.13
	647	4.64287e+06	3070.94	8961.13
	648	4.64929e+06	3129.02	8961.13
	649	4.65507e+06	3188.17	8961.13
	650	4.66024e+06	3248.4	8961.13
	651	4.66482e+06	3309.71	8961.13
	652	4.66885e+06	3372.11	8961.13
	653	4.67234e+06	3435.62	8961.13
	654	4.67532e+06	3500.23	8961.13
	655	4.67782e+06	3565.96	8961.13
	656	4.67986e+06	3632.81	8961.13
	657	4.68145e+06	3700.79	8961.13
	658	4.68262e+06	3769.91	8961.13
	659	4.68339e+06	3840.16	8961.13
	660	4.68377e+06	3911.57	8961.13
	661	4.68378e+06	3984.13	8961.13
	662	4.68343e+06	4057.85	8961.13
	663	4.68274e+06	4132.73	8961.13
