	t	x	y
	504	2.1432e+06	18420.4
	505	2.13277e+06	18386.2
	506	2.12241e+06	18351.6
	507	2.11212e+06	18316.6
	508	2.1019e+06	18281.3
	509	2.09175e+06	18245.6
	510	2.08167e+06	18209.6
	511	2.07165e+06	18173.2
	512	2.06171e+06	18136.5
	513	2.05183e+06	18099.5
	514	2.04203e+06	18062.2
	515	2.03229e+06	18024.6
	516	2.02261e+06	17986.7
	517	2.01301e+06	17948.5
	518	2.00347e+06	17910.1
	519	1.994e+06	17871.5
	520	1.98459e+06	17832.6
	521	1.97526e+06	17793.5
	522	1.96598e+06	17754.1
	523	1.95678e+06	17714.6
	524	1.94763e+06	17674.8
	525	1.93856e+06	17634.9
	526	1.92955e+06	17594.8
	527	1.9206e+06	17554.5
	528	1.91172e+06	17514
	529	1.9029e+06	17473.4
	530	1.89414e+06	17432.7
	531	1.88545e+06	17391.8
	532	1.87682e+06	17350.7
	533	1.86825e+06	17309.6
	534	1.85975e+06	17268.3
	535	1.8513e+06	17226.9
	536	1.84292e+06	17185.4
	537	1.8346e+06	17143.8
	538	1.82635e+06	17102.1
	539	1.81815e+06	17060.3
	540	1.81001e+06	17018.5
	541	1.80193e+06	16976.6
	542	1.79392e+06	16934.6
	543	1.78596e+06	16892.6
	544	1.77806e+06	16850.5
	545	1.77022e+06	16808.4
	546	1.76244e+06	16766.2
	547	1.75472e+06	16724
	548	1.74706e+06	16681.7
	549	1.73945e+06	16639.5
	550	1.7319e+06	16597.2
	551	1.72441e+06	16554.9
	552	1.71698e+06	16512.6
	553	1.70961e+06	16470.3
	554	1.70229e+06	16428
	555	1.69502e+06	16385.7
	556	1.68782e+06	16343.4
	557	1.68066e+06	16301.1
	558	1.67357e+06	16258.9
	559	1.66653e+06	16216.6
	560	1.65955e+06	16174.4
	561	1.65262e+06	16132.3
	562	1.64574e+06	16090.1
	563	1.63892e+06	16048
	564	1.63216e+06	16006
	565	1.62544e+06	15964
	566	1.61879e+06	15922
	567	1.61218e+06	15880.1
	568	1.60563e+06	15838.2
	569	1.59914e+06	15796.4
	570	1.59269e+06	15754.7
	571	1.5863e+06	15713.1
	572	1.57997e+06	15671.5
	573	1.57368e+06	15630
	574	1.56745e+06	15588.5
	575	1.56127e+06	15547.1
	576	1.55515e+06	15505.9
	577	1.54908e+06	15464.7
	578	1.54306e+06	15423.5
	579	1.53709e+06	15382.5
	580	1.53117e+06	15341.6
	581	1.52531e+06	15300.8
	582	1.5195e+06	15260
	583	1.51374e+06	15219.4
	584	1.50803e+06	15178.8
	585	1.50238e+06	15138.4
	586	1.49677e+06	15098.1
	587	1.49122e+06	15057.9
	588	1.48572e+06	15017.8
	589	1.48028e+06	14977.8
	590	1.47489e+06	14937.9
	591	1.46954e+06	14898.1
	592	1.46426e+06	14858.5
	593	1.45902e+06	14818.9
	594	1.45384e+06	14779.5
	595	1.4487e+06	14740.3
	596	1.44363e+06	14701.1
	597	1.4386e+06	14662.1
	598	1.43363e+06	14623.2
	599	1.42871e+06	14584.5
	600	1.42385e+06	14545.8
	601	1.41904e+06	14507.3
	602	1.41428e+06	14469
	603	1.40958e+06	14430.8
	604	1.40494e+06	14392.7
	605	1.40034e+06	14354.8
	606	1.39581e+06	14317
	607	1.39133e+06	14279.4
	608	1.3869e+06	14241.9
	609	1.38254e+06	14204.5
	610	1.37823e+06	14167.3
	611	1.37397e+06	14130.3
	612	1.36978e+06	14093.4
	613	1.36564e+06	14056.7
	614	1.36156e+06	14020.1
	615	1.35755e+06	13983.7
	616	1.35359e+06	13947.4
	617	1.34969e+06	13911.3
	618	1.34586e+06	13875.4
	619	1.34208e+06	13839.6
	620	1.33837e+06	13804
	621	1.33473e+06	13768.6
	622	1.33115e+06	13733.4
	623	1.32763e+06	13698.3
	624	1.32418e+06	13663.4
	625	1.32079e+06	13628.6
	626	1.31748e+06	13594.1
	627	1.31423e+06	13559.7
	628	1.31105e+06	13525.5
	629	1.30795e+06	13491.4
	630	1.30491e+06	13457.6
	631	1.30195e+06	13424
	632	1.29907e+06	13390.5
	633	1.29625e+06	13357.2
	634	1.29352e+06	13324.1
	635	1.29086e+06	13291.2
	636	1.28829e+06	13258.5
	637	1.28579e+06	13226
	638	1.28338e+06	13193.7
	639	1.28105e+06	13161.7
	640	1.27881e+06	13129.8
	641	1.27665e+06	13098.1
	642	1.27459e+06	13066.6
	643	1.27261e+06	13035.3
	644	1.27073e+06	13004.3
	645	1.26894e+06	12973.4
	646	1.26725e+06	12942.8
	647	1.26565e+06	12912.4
	648	1.26416e+06	12882.3
	649	1.26277e+06	12852.3
	650	1.26149e+06	12822.6
	651	1.26031e+06	12793.1
	652	1.25924e+06	12763.9
	653	1.25828e+06	12734.8
	654	1.25744e+06	12706.1
	655	1.25672e+06	12677.5
	656	1.25612e+06	12649.3
	657	1.25563e+06	12621.2
	658	1.25528e+06	12593.5
	659	1.25505e+06	12566
	660	1.25496e+06	12538.7
	661	1.255e+06	12511.7
	662	1.25517e+06	12485
	663	1.25549e+06	12458.6
	664	1.25595e+06	12432.4
	665	1.25656e+06	12406.6
	666	1.25732e+06	12381
	667	1.25824e+06	12355.7
	668	1.25932e+06	12330.7
	669	1.26055e+06	12306
	670	1.26196e+06	12281.6
	671	1.26353e+06	12257.6
	672	1.26528e+06	12233.8
	673	1.26721e+06	12210.4
	674	1.26932e+06	12187.3
	675	1.27161e+06	12164.5
	676	1.2741e+06	12142.1
	677	1.27679e+06	12120
	678	1.27967e+06	12098.3
	679	1.28276e+06	12077
	680	1.28606e+06	12056
	681	1.28957e+06	12035.3
	682	1.2933e+06	12015.1
	683	1.29726e+06	11995.2
	684	1.30144e+06	11975.8
	685	1.30586e+06	11956.7
	686	1.31052e+06	11938.1
	687	1.31542e+06	11919.8
	688	1.32057e+06	11902
	689	1.32597e+06	11884.7
	690	1.33163e+06	11867.7
	691	1.33756e+06	11851.3
	692	1.34376e+06	11835.3
	693	1.35023e+06	11819.7
	694	1.35697e+06	11804.6
	695	1.36401e+06	11790.1
	696	1.37133e+06	11776
	697	1.37895e+06	11762.4
	698	1.38686e+06	11749.4
	699	1.39508e+06	11736.8
	700	1.4036e+06	11724.8
	701	1.41244e+06	11713.4
