t,I,S,R
30.2,0.288489,111.265,9.44678
30.3,0.286906,111.252,9.46119
30.4,0.28533,111.239,9.47551
30.5,0.283761,111.226,9.48976
30.6,0.2822,111.214,9.50393
30.7,0.280645,111.201,9.51802
30.8,0.279098,111.189,9.53203
30.9,0.277558,111.176,9.54596
31,0.276025,111.164,9.55982
31.1,0.2745,111.152,9.5736
31.2,0.272981,111.14,9.58731
31.3,0.271469,111.128,9.60094
31.4,0.269965,111.116,9.61449
31.5,0.268467,111.104,9.62797
31.6,0.266977,111.092,9.64138
31.7,0.265493,111.08,9.65471
31.8,0.264017,111.068,9.66796
31.9,0.262547,111.056,9.68114
32,0.261084,111.045,9.69425
32.1,0.259629,111.033,9.70729
32.2,0.25818,111.022,9.72025
32.3,0.256738,111.01,9.73314
32.4,0.255303,110.999,9.74596
32.5,0.253875,110.987,9.75871
32.6,0.252454,110.976,9.77138
32.7,0.25104,110.965,9.78399
32.8,0.249632,110.954,9.79652
32.9,0.248231,110.943,9.80899
33,0.246837,110.932,9.82138
33.1,0.24545,110.921,9.8337
33.2,0.244069,110.91,9.84596
33.3,0.242695,110.899,9.85814
33.4,0.241328,110.888,9.87026
33.5,0.239968,110.878,9.88231
33.6,0.238614,110.867,9.89429
33.7,0.237267,110.857,9.9062
33.8,0.235926,110.846,9.91805
33.9,0.234592,110.836,9.92983
34,0.233264,110.825,9.94154
34.1,0.231944,110.815,9.95319
34.2,0.230629,110.805,9.96477
34.3,0.229321,110.794,9.97628
34.4,0.22802,110.784,9.98773
34.5,0.226725,110.774,9.99912
34.6,0.225436,110.764,10.0104
34.7,0.224154,110.754,10.0217
34.8,0.222879,110.744,10.0329
34.9,0.221609,110.734,10.044
35,0.220346,110.725,10.0551
35.1,0.21909,110.715,10.0661
35.2,0.21784,110.705,10.077
35.3,0.216596,110.696,10.0879
35.4,0.215358,110.686,10.0987
35.5,0.214126,110.676,10.1095
35.6,0.212901,110.667,10.1201
35.7,0.211682,110.658,10.1308
35.8,0.210469,110.648,10.1413
35.9,0.209263,110.639,10.1519
36,0.208062,110.63,10.1623
36.1,0.206868,110.62,10.1727
36.2,0.205679,110.611,10.183
36.3,0.204497,110.602,10.1933
36.4,0.203321,110.593,10.2035
36.5,0.202151,110.584,10.2136
36.6,0.200987,110.575,10.2237
36.7,0.199828,110.566,10.2338
36.8,0.198676,110.558,10.2438
36.9,0.19753,110.549,10.2537
37,0.19639,110.54,10.2635
37.1,0.195255,110.531,10.2733
37.2,0.194127,110.523,10.2831
37.3,0.193004,110.514,10.2928
37.4,0.191887,110.506,10.3024
37.5,0.190776,110.497,10.312
37.6,0.189671,110.489,10.3215
37.7,0.188572,110.48,10.331
37.8,0.187478,110.472,10.3404
37.9,0.18639,110.464,10.3498
38,0.185307,110.456,10.3591
38.1,0.184231,110.447,10.3683
38.2,0.18316,110.439,10.3775
38.3,0.182095,110.431,10.3867
38.4,0.181035,110.423,10.3958
38.5,0.179981,110.415,10.4048
38.6,0.178932,110.407,10.4138
38.7,0.177889,110.399,10.4227
38.8,0.176852,110.392,10.4316
38.9,0.17582,110.384,10.4404
39,0.174793,110.376,10.4492
39.1,0.173772,110.368,10.4579
39.2,0.172756,110.361,10.4666
39.3,0.171746,110.353,10.4752
39.4,0.170741,110.345,10.4838
39.5,0.169742,110.338,10.4923
39.6,0.168748,110.33,10.5008
39.7,0.167759,110.323,10.5092
39.8,0.166775,110.316,10.5176
39.9,0.165797,110.308,10.5259
40,0.164824,110.301,10.5342
40.1,0.163856,110.294,10.5424
40.2,0.162894,110.286,10.5506
40.3,0.161936,110.279,10.5587
40.4,0.160984,110.272,10.5668
40.5,0.160037,110.265,10.5749
40.6,0.159095,110.258,10.5829
40.7,0.158158,110.251,10.5908
40.8,0.157226,110.244,10.5987
40.9,0.1563,110.237,10.6065
41,0.155378,110.23,10.6144
41.1,0.154461,110.223,10.6221
41.2,0.15355,110.217,10.6298
41.3,0.152643,110.21,10.6375
41.4,0.151741,110.203,10.6451
41.5,0.150844,110.196,10.6527
41.6,0.149952,110.19,10.6602
41.7,0.149065,110.183,10.6677
41.8,0.148183,110.177,10.6751
41.9,0.147306,110.17,10.6825
42,0.146433,110.164,10.6899
42.1,0.145565,110.157,10.6972
42.2,0.144702,110.151,10.7045
42.3,0.143844,110.144,10.7117
42.4,0.14299,110.138,10.7189
42.5,0.142141,110.132,10.726
42.6,0.141297,110.126,10.7331
42.7,0.140458,110.119,10.7402
42.8,0.139623,110.113,10.7472
42.9,0.138793,110.107,10.7541
43,0.137967,110.101,10.7611
43.1,0.137146,110.095,10.768
43.2,0.13633,110.089,10.7748
43.3,0.135518,110.083,10.7816
43.4,0.13471,110.077,10.7884
43.5,0.133907,110.071,10.7951
43.6,0.133109,110.065,10.8018
43.7,0.132315,110.059,10.8084
43.8,0.131525,110.053,10.815
43.9,0.13074,110.048,10.8216
44,0.129959,110.042,10.8281
44.1,0.129182,110.036,10.8346
44.2,0.12841,110.031,10.8411
44.3,0.127642,110.025,10.8475
44.4,0.126879,110.019,10.8539
44.5,0.12612,110.014,10.8602
44.6,0.125365,110.008,10.8665
44.7,0.124614,110.003,10.8727
44.8,0.123868,109.997,10.879
44.9,0.123125,109.992,10.8852
45,0.122387,109.986,10.8913
45.1,0.121653,109.981,10.8974
45.2,0.120924,109.976,10.9035
45.3,0.120198,109.97,10.9095
45.4,0.119476,109.965,10.9155
45.5,0.118759,109.96,10.9215
45.6,0.118045,109.955,10.9274
45.7,0.117336,109.949,10.9333
45.8,0.116631,109.944,10.9392
45.9,0.115929,109.939,10.945
46,0.115232,109.934,10.9508
46.1,0.114538,109.929,10.9565
46.2,0.113849,109.924,10.9622
46.3,0.113163,109.919,10.9679
46.4,0.112482,109.914,10.9736
46.5,0.111804,109.909,10.9792
46.6,0.11113,109.904,10.9848
46.7,0.11046,109.899,10.9903
46.8,0.109794,109.894,10.9958
46.9,0.109131,109.89,11.0013
47,0.108473,109.885,11.0068
47.1,0.107818,109.88,11.0122
47.2,0.107167,109.875,11.0176
47.3,0.106519,109.871,11.0229
47.4,0.105876,109.866,11.0282
47.5,0.105236,109.861,11.0335
47.6,0.104599,109.857,11.0388
47.7,0.103967,109.852,11.044
47.8,0.103338,109.847,11.0492
47.9,0.102712,109.843,11.0543
48,0.10209,109.838,11.0595
48.1,0.101472,109.834,11.0646
48.2,0.100857,109.83,11.0696
48.3,0.100246,109.825,11.0747
48.4,0.0996388,109.821,11.0797
48.5,0.0990347,109.816,11.0846
48.6,0.0984341,109.812,11.0896
48.7,0.0978369,109.808,11.0945
48.8,0.0972433,109.803,11.0994
48.9,0.096653,109.799,11.1042
49,0.0960662,109.795,11.1091
49.1,0.0954828,109.791,11.1139
49.2,0.0949028,109.786,11.1186
49.3,0.0943261,109.782,11.1234
49.4,0.0937528,109.778,11.1281
49.5,0.0931828,109.774,11.1328
49.6,0.0926161,109.77,11.1374
49.7,0.0920527,109.766,11.142
49.8,0.0914926,109.762,11.1466
49.9,0.0909358,109.758,11.1512
50,0.0903822,109.754,11.1557
50.1,0.0898318,109.75,11.1602
50.2,0.0892847,109.746,11.1647
50.3,0.0887407,109.742,11.1692
50.4,0.0881999,109.738,11.1736
50.5,0.0876623,109.734,11.178
50.6,0.0871278,109.73,11.1824
50.7,0.0865964,109.727,11.1868
50.8,0.0860682,109.723,11.1911
50.9,0.085543,109.719,11.1954
51,0.0850209,109.715,11.1996
51.1,0.0845019,109.712,11.2039
51.2,0.0839859,109.708,11.2081
51.3,0.083473,109.704,11.2123
51.4,0.082963,109.701,11.2165
51.5,0.0824561,109.697,11.2206
51.6,0.0819521,109.693,11.2247
51.7,0.0814511,109.69,11.2288
51.8,0.080953,109.686,11.2329
51.9,0.0804579,109.683,11.2369
52,0.0799656,109.679,11.2409
52.1,0.0794763,109.676,11.2449
52.2,0.0789899,109.672,11.2489
52.3,0.0785063,109.669,11.2528
52.4,0.0780256,109.665,11.2568
52.5,0.0775477,109.662,11.2607
52.6,0.0770727,109.658,11.2645
